Key,Korean (South Korea)(ko-KR),English(en),CH,JP
ally405_desc,신궁의 화살은 보이지 않는 목표물도 반드시 적중하는 신묘함을 보여준다. 안개가 자욱한 날에도 어김없이 날아와 관통하는 화살에 적군들은 혼비백산 한다.,An uncanny archer whose arrows strike even unseen targets. Enemies panic as shots pierce through the mist and find their mark without fail.,,
ally406_name,신통포수,Divine Gunner,,
ally406_script,"""압도적인 화력만이 전장의 승리를 이끌어낼 수 있지!""","""Only overwhelming firepower brings victory!""",,
ally406_desc,총과 유탄의 대가로 그의 웃음소리만큼 호방하고 화끈한 화력의 무기로 언제나 전장의 승리를 이끌어왔다. 필중의 사격 솜씨로 적을 빠르게 꿰뚫고 유탄을 던져 몰려오는 적을 궤멸시킨다.,A master of firearms and grenades whose explosive firepower has led many battles to victory. Deadly shots pierce key targets while grenades erase clustered foes.,,
ally407_name,선인,Divine Sage,,
ally407_script,"""천지인의 조화를 이해한자 파도를 거스르지 않고 올라타는 법""","""Know harmony, and ride the wave, not fight it.""",,
ally407_desc,도술이 잘 통한다는 것은 그만큼 유위법의 원리를 간파한 것으로 사람의 경지를 뛰어넘는 경지이다. 선인이 사용하는 신통한 계획은 적에게 큰 시련이 되고 아군의 확신이 된다.,"A transcendent master who understands the harmony of heaven, earth, and humanity. Their mysterious arts become a great trial for enemies and a source of confidence for allies.",,
ally408_name,대승,Great Monk,,
ally408_script,"""일체유위법 여몽환포영 여로역여전 응작여시관""","""All things are but dreams and illusions.""",,
ally408_desc,"흔들리지 않는 평정심으로 본질을 간파하며, 전장에서 의병의 정신적 지주가 되어주는 존재이다. 그의 연설은 온화하고 확고하여 의병들에게 위안이 되어준다.","With unwavering composure, this monk sees through appearances and becomes a spiritual pillar for the Righteous Army. Gentle yet resolute words bring comfort to those who fight.",,
ally409_name,만신,Grand Shaman,,
ally409_script,,"""""",,
ally409_desc,,,,
ally410_name,선녀,Fairy Maiden,,
ally410_script,,"""""",,
ally410_desc,,,,
empire_1Worker_name,노역자,Forced Laborer,,
empire_1Worker_script,"""죽으라면 죽는 거지. 살아봐야 별수 있나.""","""If ordered to die, I die. What else is there?""",,
empire_1Worker_desc,"조선으로 끌려온 각국의 강제 노역자. 본디 농사며 고기잡이를 하던 평범한 백성이었으나, 낯선 나라에서 손에 피 묻은 도끼를 쥐게 되었다. 반쯤 죽은 눈빛으로 휘두르는 그 도끼는 자신의 삶을 부정당한 자의 무언의 저항처럼 느껴진다.","A forced laborer dragged to Joseon from abroad. Once an ordinary farmer or fisher, he now grips a bloodstained axe in a foreign land, swinging it with the hollow defiance of a life denied.",,
empire_1Merchant_name,수상한 무역상,Shady Merchant,,
empire_1Merchant_script,"""무엇을 교환해 볼까요? 이 식칼 하나에 햅쌀 천 가마니는 어떠신지?""","""Care to trade? One knife for a thousand sacks?""",,
empire_1Merchant_desc,"눈 뜨고 코 베이고 싶다면 상인과 한두 마디만 섞으면 된다. 가격대를 미리 파악해 놓는다면 수월히 거래를 할 수 있지만 말이다(""그렇게까지 양심이 없진 않지요!""). 다소 뻔뻔한 만큼 철판을 깔긴 깔았는지 체력이 조금 높은 편이다.","A shameless trader who can fleece anyone in a few words. Knowing the market price helps, though he insists he is not completely without conscience. His thick skin seems literal, as he is slightly tougher than most.",,
empire_1Trader_name,교활한 통역관,Sly Interpreter,,
empire_1Trader_script,"""내 허락 없이는 아무것도 사고팔 수 없지. 암. 그렇고 말고.""","""No trade happens without my approval. Clear?""",,
empire_1Trader_desc,"통제형 기질을 가진 하급 관료. 자신이 없으면 어떤 교역도 무효라고 주장한다. 딱히 기술이나 도구, 재주도 없으니 지위가 권위를 만든 경우라고 볼 수 있다. 처음 본 상대에게도 냅다 잔소리를 하거나 손을 위협적으로 올린다.","A low-ranking official obsessed with control. He claims every trade is invalid without him. With no notable skill or talent, his authority comes from rank alone. He lectures strangers and raises a hand to intimidate.",,
empire_2Bomber_name,필사의 특공병,Desperate Bomber,,
empire_2Bomber_script,"""제 삶의 길이는 그저 이 도화선 한 뼘만큼일 뿐이지요(씨익)""","""My life is only as long as this fuse. Heh.""",,
empire_2Bomber_desc,"제국에 충성을 맹세한 자, 혹은 그렇게 세뇌당한 자. 명령이 내려지면 가방을 메고 적진 한복판으로 돌진해 폭탄을 터뜨린다. 광기에 가까운 충성심을 품고 달려드는 특공병의 얼굴을 본 날에는 누구나 밤잠을 설친다고 한다.","One who swore loyalty to the Empire—or was made to believe he did. At a command, he straps on explosives, charges into enemy lines, and detonates. Those who see his fanatical grin rarely sleep well afterward.",,
empire_2Archer_name,필사의 저격수,Desperate Sniper,,
empire_2Archer_script,"""화살 하나에 적 하나. 셈은 확실해야죠.""","""One arrow, one enemy. The count must be exact.""",,
empire_2Archer_desc,"황제에게 충성을 맹세한 궁병대 소속. 수련과 주입식 교육을 통해 인간성을 지운 후, 기계처럼 조준하고 쏘는 것을 반복한다. 생존보다는 명중률이 우선이기에 숨통이 끊어지는 순간까지 활시위를 놓지 않는다.","An archer sworn to the Emperor. Training and indoctrination stripped away his humanity until only aim and release remained. Accuracy matters more than survival, so he keeps drawing the bow until his final breath.",,
empire_3Priest_name,불굴의 수도자,Unyielding Monk,,
empire_3Priest_script,"""대답은 정해져 있는 거 알죠? 믿습니다, 혹은 믿습니다!""","""You know the answer: I believe. Or, I believe!""",,
empire_3Priest_desc,"제국의 사상을 이식시키는 정신 교관. 아군은 물론이고 적군과 마을 사람들을 사상 앞에 무릎 꿇게 하고, 저항의 싹부터 말려버린다. 마법과 언어를 병기처럼 다루기에 그의 존재 자체로 깊은 정신적 침식을 불러일으킨다.","A mental instructor who implants imperial doctrine. Ally, enemy, or villager, all must kneel before the creed. He wields magic and rhetoric as weapons, eroding the minds of those around him.",,
empire_3Warrior_name,불굴의 검객,Unyielding Blade,,
empire_3Warrior_script,"""예정된 일이기에 오히려 두렵지 않소이다.""","""It was destined to happen. Why should I fear it?""",,
empire_3Warrior_desc,"대대로 검사의 계보를 이어온 무예인. 가문과 나라, 전통의 중압감을 안고 싸운다. 도발 스킬을 사용하여 자신만 공격하도록 유도해 동료를 지킨다. 전장을 예의 터로 여기는 자이며, 예의 끝에 죽음이 기다리고 있다는 것도 잘 알고 있다.","A swordsman from a lineage of warriors, burdened by family, nation, and tradition. He taunts enemies into attacking him to protect allies, treating the battlefield as a place of honor even when death awaits.",,
empire_3Guard_name,필살의 무사,Deadly Warrior,,
empire_3Guard_script,"""황제께 닿으려는 손은 전부 댕강─이지!""","""Any hand reaching for the Emperor gets cut off!""",,
empire_3Guard_desc,"황제를 가장 가까이에서 호위하던 직속 근위병. 철갑을 걸친 그 육체는 창보다 빠르고, 방패보다 단단하다. 수호란 그에게 있어 방어가 아닌 선제 공격의 다른 이름이며, 황제에게 닿으려는 자는 누구든 먼저 쓰러뜨린다.","A royal guard who once stood closest to the Emperor. His armored body is faster than a spear and harder than a shield. To him, protection means striking first, and anyone who reaches for the Emperor falls first.",,
empire_4Warrior_name,살인귀 손대포,Handcannon Fiend,,
empire_4Warrior_script,"""태양께선 쉬지 않으십니다. 그러니 저도 쉴 수 없습니다.""","""The Sun never rests. Therefore, neither can I.""",,
empire_4Warrior_desc,고된 노역을 하다 황제의 눈에 띄어 황군에서 훈련된 인간 병기. 완전한 복종을 체화한 그는 황제 덕에 두 번째 생을 살게 되었다며 매일같이 감복한다. 손에 든 총은 복종의 상징이다. 조선을 비롯해 의 산천을 그의 발밑에서 불타오르게 만들 셈이다.,"Once a laborer, he caught the Emperor's eye and was forged into a human weapon. He sees obedience as a second life granted by the Emperor. The gun in his hand is its symbol, ready to burn foreign lands.",,
empire_5Captain_name,전쟁신 붉은아귀,Redmaw War God,,
empire_5Captain_script,"""나는 칼을 들지 않는다. 그저 태양의 뜻을 내보일 뿐.""","""I do not raise a sword. I reveal the Sun's will.""",,
empire_5Captain_desc,제국의 진격을 선도하는 군단의 중심. 황제의 뜻을 가장 먼저 받드는 ‘태양의 화신’이라 불리는 자. 금강불괴의 아우라를 뿜어 아군이 받는 데미지를 감소시킨다. 전투 실력과 스킬을 넘어 황제와 가깝다는 사실만으로도 아군의 사기를 바짝 끌어올리는 존재다.,"The heart of the legion leading the Empire's advance, revered as the Sun's Incarnation. His Diamond Body aura reduces damage taken by allies, while his closeness to the Emperor alone drives their morale higher.",,
pioneer_1Worker_name,세뇌된 개척자,Priest Haeoreum,,
pioneer_1Worker_script,"""땅을 일구라면 일구고 목을 따라면 따겠습니다!""","""My words are the Sun's. Bow before the Sun!""",,
pioneer_1Worker_desc,사이비 신앙에 현혹되어 먼 바다를 건너온 민간인. 새로운 장소를 찾아 그들만의 왕국을 건설하고자 조선까지 왔다. 교주에게 단단히 세뇌되어 시키는 건 무엇이든 할 준비가 되어 있다. 설령 그것이 약탈과 살육일지라도.,"The Emperor's right hand, convinced that he speaks as a divine agent. He sees all outsiders as uncivilized people who cannot comprehend the Emperor's will.",,
pioneer_1Slave_name,세뇌된 노예,Cult Pioneer,,
pioneer_1Slave_script,"""시키는 대로 다 할 테니까… 오늘은 스무 대만 때려주시면 안 될까요?""","""Till the soil or take a head—I'll do as told!""",,
pioneer_1Slave_desc,"사이비 교단에 붙잡혀 각종 허드렛일을 거들어온 이들. 처음 고향도 가족도 모두 빼앗겼을 때는 복수심에 불타올랐지만, 교단이 체벌로 다스리가 무기력하게 명령을 따른다. 교단은 고된 일과 고문으로 상해버린 그들의 몸을 알뜰히 방패막이로 삼는다.","A civilian lured across the sea by a false faith. Seeking a new land for their promised kingdom, he came as far as Joseon. Thoroughly brainwashed, he will obey any order, even looting and murder.",,
pioneer_2Slave_name,독극물 운반자,Cult Slave,,
pioneer_2Slave_script,"""시키는 대로 다 할 테니까… 잠시만… 쉬게 해주세요….""","""I'll obey... Spare me, please.""",,
pioneer_2Slave_desc,"역시 사이비 교단에 붙잡혀 위험한 일을 도맡아온 이들. 개척지에 살포할 독극물을 운반하다 중독되어 피부색이 기괴하게 변했고, 작은 고통은 느끼지도 못하게 되어버렸다. 사망 시 몸속에 축적된 독가스를 방출하여 20% 확률로 중독 상태를 일으킨다.","A captive forced into menial labor by the cult. Rage once burned after home and family were taken, but years of beatings crushed it into numb obedience. The cult now uses his broken body as a disposable shield.",,
pioneer_2Archer_name,광기의 파수꾼,Toxin Carrier,,
pioneer_2Archer_script,"""교주님 근처로는 벌레 한 마리도 못 오게 하는 게 우리의 신성한 의무지!""","""I'll do anything... just let me rest a moment...""",,
pioneer_2Archer_desc,"교단의 최하급 병졸. 어렵게 기사단에 들어왔으나 이렇다 할 전공이 없어 파수꾼으로 배치되었다. 그러나 '파수꾼'이라는 명칭이 이들의 사기를 북돋았는지 자세가 아주 적극적이다. 체력도 힘도 애매하지만, 교주를 지키기 위해서라면 물불 가리지 않고 광기의 활을 쏘아보낸다.","A captive assigned the cult's most dangerous work. Poison meant for new settlements has discolored his skin and dulled his pain. On death, the toxins within him escape as gas, with a 20% chance to inflict Poisoned.",,
pioneer_2Scout_name,광기의 정찰병,Mad Sentry,,
pioneer_2Scout_script,"""투지를 불태워라! 내가 교주님의 눈이 되어 살피고 있으니!""","""No bug gets near our leader. Sacred duty!""",,
pioneer_2Scout_desc,"넓은 지역을 정찰하는 정찰자. 투지 아우라를 뿜어 주변에 있는 아군에게 투지 상태를 부여한다. 작은 총으로 원거리 공격을, 찌르기로 근거리 공격을 한다. 방탄갑을 입고 있어 파수꾼보다 조금 체력이 강하다. 교주의 눈에 들기 위해서라면 물불 가리지 않고 광기의 총알을 쏜다.","A low-ranking cult soldier assigned as a sentry after failing to earn glory. The title alone seems to fuel his zeal. Neither strong nor tough, he still fires wildly at anything that threatens the cult leader.",,
pioneer_2Executor_name,광기의 집행자,Mad Scout,,
pioneer_2Executor_script,"""불신한 자여, 그 죄를 네 피로 갚아라!""","""Burn with zeal! I am our leader's eyes!""",,
pioneer_2Executor_desc,이단자에 대한 심판을 수행하는 자. 이들은 교단의 가르침에서 벗어난 자들을 직접 처형함으로써 자신이 ‘정의’를 구현하고 있다고 믿는다. 그 광신의 눈빛엔 단 하나의 확신만이 깃들어 있다—피는 죄를 씻는 물이라는 것.,"A wide-ranging scout who radiates Battle Zeal to nearby allies. He fires a small gun at range and thrusts up close. Light armor makes him tougher than a sentry, and fanaticism keeps him reckless.",,
pioneer_2Bomber_name,광기의 폭약 기술자,Mad Executor,,
pioneer_2Bomber_script,"""금빛 계시가 내 귀에 속삭였어. 다 날려버리라고!""","""Unbeliever, repay your sin with your blood!""",,
pioneer_2Bomber_desc,"지하에서 광맥을 찾다 폭약에 빠진 기술자. 이제 그는 황금의 계시를 좇아 온몸에 폭탄을 두르고 적진으로 뛰어든다. 죽음은 그에게 끝이 아닌 증명이기에, 광기의 미소로 자폭해 모두를 끌고 간다.","An executioner who judges those branded heretics. By killing anyone who strays from the cult's teachings, he believes he enforces justice. Only one belief burns in his eyes: blood washes away sin.",,
pioneer_3Captain_name,타락한 선봉기사,Mad Miner,,
pioneer_3Captain_script,"""전진하라! 우리의 발걸음이 신의 길을 열지어니!""","""Golden revelation whispered: Blow it all up!""",,
pioneer_3Captain_desc,"본래는 개척의 선봉장이었으나, 교단의 명령에 따라 파괴와 점령을 일삼는 자가 되었다. 느릿하지만 단단하며, 그의 전진은 단지 물리적 돌진이 아닌 신의 뜻이라는 망상으로 강화된 의식 그 자체다.","A miner who became obsessed with explosives underground. Now he follows golden revelations, straps bombs across his body, and charges the enemy. To him, death proves his faith, so he detonates with a manic smile.",,
pioneer_3Executor_name,타락한 심문자,Fallen Vanguard,,
pioneer_3Executor_script,"""진실을 토하라. 아니면, 비명을 지르도록.""","""Advance! Our steps shall open the path of God!""",,
pioneer_3Executor_desc,"이단자의 고통을 통해 신의 의지를 드러낸다고 믿는 심문자. 고문은 정화의 과정이며, 비명은 회개의 언어다. 그의 도끼는 살해의 도구가 아니라 교단의 사랑을 강제로 주입하는 선물이다.","Once a pioneer captain, he became an agent of destruction and conquest under cult orders. Slow but sturdy, he sees each advance not as a charge, but as a sacred rite strengthened by delusions of divine will.",,
pioneer_3Guard_name,타락한 가디언,Dark Inquisitor,,
pioneer_3Guard_script,"""무엇이든 상관없다. 접근하는 것들은 전부 제거해.""","""Speak the truth. Or I will make you scream.""",,
pioneer_3Guard_desc,"본래는 원주민 보호를 위해 고용된 경비병이었으나, 교단의 세뇌로 충성의 대상을 바꾸었다. 검과 집념 하나로 전장에 뛰어들며, 타락한 신념은 그를 더욱 완고하고 무자비하게 만든다.","An inquisitor who believes divine will is revealed through a heretic's pain. Torture is purification, screams are repentance, and his axe is not a weapon but a gift that forces the cult's love into its victims.",,
pioneer_3Priest_name,타락한 전도사,Fallen Guardian,,
pioneer_3Priest_script,"""치유받을 수 있다만요. 믿기만 한다면 말이죠.""","""Whatever it is, if it comes near, kill it.""",,
pioneer_3Priest_desc,"거짓된 구원을 전파하는 전도사. 그는 상처 입은 자를 치료하면서 동시에 신의 이름으로 그들을 종속시킨다. 봉에서 뿜어지는 힘은 단지 약이 아니라, 영혼을 사로잡는 교단의 사슬이다.","Once hired to protect local people, this guard was brainwashed into serving the cult instead. Armed with only a sword and obsession, his corrupted faith has made him stubborn, relentless, and merciless.",,
pioneer_4Executor_name,이단 심판관 제로엘,Fallen Preacher,,
pioneer_4Executor_script,"""의심은 죄요, 나의 검은 그 죄의 끝이다.""","""You can be healed. All you need is faith.""",,
pioneer_4Executor_desc,"거룩함의 탈을 쓴 냉혈한. 심판관 제로엘은 절대적인 규율과 교리로 무장해 이단자를 가려내고, 자신의 정의를 강요한다. 그의 도발은 단지 분노를 유도하는 것이 아니라, 광신을 이끌어내는 종의 파문이다.",A preacher of false salvation. He heals the wounded while binding them to the cult in God's name. The power flowing from his staff is less medicine than a chain meant to capture the soul.,,
pioneer_4Paladin_name,신성전사 에드워드,Judge Zeroel,,
pioneer_4Paladin_script,"""내 망치는 정의의 도장이다. 심판받을 준비가 되었는가?""","""Doubt is sin, and my blade is where sin ends.""",,
pioneer_4Paladin_desc,"팔라딘이라는 이름에 걸맞게 빛과 진실을 외치지만, 그 망치는 자비가 아닌 파괴의 도구다. 징벌자 에드워드는 교단의 의지를 구현하는 성스러운 파괴자이며, 신의 이름으로 모든 이단을 짓밟는다.",A cold-blooded zealot wearing the mask of holiness. Judge Zeroel hunts heretics through absolute doctrine and imposes his own justice. His provocations are a tolling bell that calls fanaticism forth.,,
pioneer_5King_name,탐욕의 교주 헨리,Paladin Edward,,
pioneer_5King_script,"""그대들의 영혼조차 나의 신전을 위한 연료이니라.""","""My hammer seals justice. Ready for judgment?""",,
pioneer_5King_desc,"사이비 교단의 절대자. 믿음과 구원을 빌미로 영혼과 재산을 착취하는 악마에 가까운 인물. 헨리는 대중을 홀리는 설득력과 기괴한 카리스마를 지녔으며, 적 앞에서 겸허한 웃음 뒤에 맹독 같은 기도를 속삭인다.","Edward speaks of light and truth like a paladin, yet his hammer brings no mercy. A sacred destroyer who embodies the cult's will, he crushes every heretic in the name of God.",,
moor_2Archer_name,용병단 궁수,Henry the Greedy,,
moor_2Archer_script,"""흠, 조무래기들과 비교하지 말아주시겠어요?""","""Even your souls are fuel for my temple.""",,
moor_2Archer_desc,척박한 고향 사막에 돈을 벌어다 주기 위해 자원한 전문 용병. 어렸을 때부터 특수 훈련을 받았기에 기본 공격력과 체력이 높고 그만큼 콧대도 아주 높다. 받은 만큼 공격하기 때문에 잔혹하도록 깔끔하고 빠르게 활을 쏘는 것이 특징이다.,"The cult's absolute ruler, almost demonic in how he exploits souls and wealth through promises of faith and salvation. Henry possesses hypnotic charm and whispers venomous prayers behind a humble smile.",,
moor_2Scout_name,훈련된 도약수,Mercenary Archer,,
moor_2Scout_script,"""(휘릭) 이 정도는 몸풀기라고 볼 수 있죠.""","""Please don't compare me with those amateurs.""",,
