Key,Korean (South Korea)(ko-KR),English(en),CH,JP
USkillAttack015_desc,촉으로 다수 대상을 관통하여 꿰뚫는다.,Pierces through multiple targets with a spearhead.,,
USkillAttack015_effect,30의 찌르기 데미지를 입힌다.,Deals 30 Pierce Damage,,
USkillAttack016_name,관통 일격 4,Piercing Strike 4,,
USkillAttack016_desc,촉으로 다수 대상을 관통하여 꿰뚫는다.,Pierces through multiple targets with a spearhead.,,
USkillAttack016_effect,50의 찌르기 데미지를 입힌다.,Deals 50 Pierce Damage,,
USkillAttack017_name,난타 1,Wild Swing 1,,
USkillAttack017_desc,한손 둔기를 마구 휘둘러 다수 대상을 친다.,"Swings a one-handed blunt weapon wildly, striking multiple enemies.",,
USkillAttack017_effect,10의 때리기 데미지를 입힌다.,Deals 10 Crush Damage,,
USkillAttack018_name,난타 2,Wild Swing 2,,
USkillAttack018_desc,한손 둔기를 마구 휘둘러 다수 대상을 친다.,"Swings a one-handed blunt weapon wildly, striking multiple enemies.",,
USkillAttack018_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack019_name,난타 3,Wild Swing 3,,
USkillAttack019_desc,한손 둔기를 마구 휘둘러 다수 대상을 친다.,"Swings a one-handed blunt weapon wildly, striking multiple enemies.",,
USkillAttack019_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack020_name,난타 4,Wild Swing 4,,
USkillAttack020_desc,한손 둔기를 마구 휘둘러 다수 대상을 친다.,"Swings a one-handed blunt weapon wildly, striking multiple enemies.",,
USkillAttack020_effect,50의 때리기 데미지를 입힌다.,Deals 50 Crush Damage,,
USkillAttack021_name,날카로운 베기 1,Sharp Slash 1,,
USkillAttack021_desc,날카로운 날로 단일 대상을 벤다.,Cuts a single target with a sharpened blade.,,
USkillAttack021_effect,15의 베기 데미지를 입힌다.,Deals 15 Slash Damage,,
USkillAttack022_name,날카로운 베기 2,Sharp Slash 2,,
USkillAttack022_desc,날카로운 날로 단일 대상을 벤다.,Cuts a single target with a sharpened blade.,,
USkillAttack022_effect,25의 베기 데미지를 입힌다.,Deals 25 Slash Damage,,
USkillAttack023_name,날카로운 베기 3,Sharp Slash 3,,
USkillAttack023_desc,날카로운 날로 단일 대상을 벤다.,Cuts a single target with a sharpened blade.,,
USkillAttack023_effect,35의 베기 데미지를 입힌다.,Deals 35 Slash Damage,,
USkillAttack024_name,날카로운 베기 4,Sharp Slash 4,,
USkillAttack024_desc,날카로운 날로 단일 대상을 벤다.,Cuts a single target with a sharpened blade.,,
USkillAttack024_effect,55의 베기 데미지를 입힌다.,Deals 55 Slash Damage,,
USkillAttack025_name,마구 때리기 1,Frenzied Blows 1,,
USkillAttack025_desc,둔기로 단일 대상을 마구 때린다.,Beats a single t arget relentlessly with a blunt weapon.,,
USkillAttack025_effect,15의 때리기 데미지를 입힌다.,Deals 15 Crush Damage,,
USkillAttack026_name,마구 때리기 2,Frenzied Blows 2,,
USkillAttack026_desc,둔기로 단일 대상을 마구 때린다.,Beats a single t arget relentlessly with a blunt weapon.,,
USkillAttack026_effect,25의 때리기 데미지를 입힌다.,Deals 25 Crush Damage,,
USkillAttack027_name,마구 때리기 3,Frenzied Blows 3,,
USkillAttack027_desc,둔기로 단일 대상을 마구 때린다.,Beats a single t arget relentlessly with a blunt weapon.,,
USkillAttack027_effect,35의 때리기 데미지를 입힌다.,Deals 35 Crush Damage,,
USkillAttack028_name,마구 때리기 4,Frenzied Blows 4,,
USkillAttack028_desc,둔기로 단일 대상을 마구 때린다.,Beats a single t arget relentlessly with a blunt weapon.,,
USkillAttack028_effect,55의 때리기 데미지를 입힌다.,Deals 55 Crush Damage,,
USkillAttack029_name,막 쏘기 1,Rapid Shot 1,,
USkillAttack029_desc,화살을 막 쏘아 단일 대상을 맞춘다.,Fires arrows rapidly to hit a single target.,,
USkillAttack029_effect,15의 찌르기 데미지를 입힌다.,Deals 15 Pierce Damage,,
USkillAttack030_name,막 쏘기 2,Rapid Shot 2,,
USkillAttack030_desc,화살을 막 쏘아 단일 대상을 맞춘다.,Fires arrows rapidly to hit a single target.,,
USkillAttack030_effect,25의 찌르기 데미지를 입힌다.,Deals 25 Pierce Damage,,
USkillAttack031_name,막 쏘기 3,Rapid Shot 3,,
USkillAttack031_desc,화살을 막 쏘아 단일 대상을 맞춘다.,Fires arrows rapidly to hit a single target.,,
USkillAttack031_effect,35의 찌르기 데미지를 입힌다.,Deals 35 Pierce Damage,,
USkillAttack032_name,막 쏘기 4,Rapid Shot 4,,
USkillAttack032_desc,화살을 막 쏘아 단일 대상을 맞춘다.,Fires arrows rapidly to hit a single target.,,
USkillAttack032_effect,55의 찌르기 데미지를 입힌다.,Deals 55 Pierce Damage,,
USkillAttack033_name,발포 1,Gunfire 1,,
USkillAttack033_desc,총을 한 번 발포하여 단일 대상을 맞춘다.,Fires a gun once to hit a single target.,,
USkillAttack033_effect,15의 찌르기 데미지를 입힌다.,Deals 15 Pierce Damage,,
USkillAttack034_name,발포 2,Gunfire 2,,
USkillAttack034_desc,총을 한 번 발포하여 단일 대상을 맞춘다.,Fires a gun once to hit a single target.,,
USkillAttack034_effect,25의 찌르기 데미지를 입힌다.,Deals 25 Pierce Damage,,
USkillAttack035_name,발포 3,Gunfire 3,,
USkillAttack035_desc,총을 한 번 발포하여 단일 대상을 맞춘다.,Fires a gun once to hit a single target.,,
USkillAttack035_effect,35의 찌르기 데미지를 입힌다.,Deals 35 Pierce Damage,,
USkillAttack036_name,발포 4,Gunfire 4,,
USkillAttack036_desc,총을 한 번 발포하여 단일 대상을 맞춘다.,Fires a gun once to hit a single target.,,
USkillAttack036_effect,55의 찌르기 데미지를 입힌다.,Deals 55 Pierce Damage,,
USkillAttack037_name,잔혹한 참수 1,Cruel Decapitation 1,,
USkillAttack037_desc,날을 강력하게 내려쳐서 잔혹하게 단일 대상을 절단한다.,Brings the blade down with brutal force to sever a single target.,,
USkillAttack037_effect,15의 베기 데미지를 입힌다.,Deals 15 Slash Damage,,
USkillAttack038_name,잔혹한 참수 2,Cruel Decapitation 2,,
USkillAttack038_desc,날을 강력하게 내려쳐서 잔혹하게 단일 대상을 절단한다.,Brings the blade down with brutal force to sever a single target.,,
USkillAttack038_effect,25의 베기 데미지를 입힌다.,Deals 25 Slash Damage,,
USkillAttack039_name,잔혹한 참수 3,Cruel Decapitation 3,,
USkillAttack039_desc,날을 강력하게 내려쳐서 잔혹하게 단일 대상을 절단한다.,Brings the blade down with brutal force to sever a single target.,,
USkillAttack039_effect,35의 베기 데미지를 입힌다.,Deals 35 Slash Damage,,
USkillAttack040_name,잔혹한 참수 4,Cruel Decapitation 4,,
USkillAttack040_desc,날을 강력하게 내려쳐서 잔혹하게 단일 대상을 절단한다.,Brings the blade down with brutal force to sever a single target.,,
USkillAttack040_effect,55의 베기 데미지를 입힌다.,Deals 55 Slash Damage,,
USkillAttack041_name,찌르기 1,Pierce 1,,
USkillAttack041_desc,뾰족한 촉으로 단일 대상을 찌른다.,Stabs a single target with a sharp point.,,
USkillAttack041_effect,15의 찌르기 데미지를 입힌다.,Deals 15 Pierce Damage,,
USkillAttack042_name,찌르기 2,Pierce 2,,
USkillAttack042_desc,뾰족한 촉으로 단일 대상을 찌른다.,Stabs a single target with a sharp point.,,
USkillAttack042_effect,25의 찌르기 데미지를 입힌다.,Deals 25 Pierce Damage,,
USkillAttack043_name,찌르기 3,Pierce 3,,
USkillAttack043_desc,뾰족한 촉으로 단일 대상을 찌른다.,Stabs a single target with a sharp point.,,
USkillAttack043_effect,35의 찌르기 데미지를 입힌다.,Deals 35 Pierce Damage,,
USkillAttack044_name,찌르기 4,Pierce 4,,
USkillAttack044_desc,뾰족한 촉으로 단일 대상을 찌른다.,Stabs a single target with a sharp point.,,
USkillAttack044_effect,55의 찌르기 데미지를 입힌다.,Deals 55 Pierce Damage,,
USkillAttack045_name,참수 1,Decapitate 1,,
USkillAttack045_desc,양손 날을 강력하게 내려쳐서 목표물을 절단한다.,Brings down a two-handed blade to sever the target.,,
USkillAttack045_effect,10의 베기 데미지를 입힌다.,Deals 10 Slash Damage,,
USkillAttack046_name,참수 2,Decapitate 2,,
USkillAttack046_desc,양손 날을 강력하게 내려쳐서 목표물을 절단한다.,Brings down a two-handed blade to sever the target.,,
USkillAttack046_effect,20의 베기 데미지를 입힌다.,Deals 20 Slash Damage,,
USkillAttack047_name,참수 3,Decapitate 3,,
USkillAttack047_desc,양손 날을 강력하게 내려쳐서 목표물을 절단한다.,Brings down a two-handed blade to sever the target.,,
USkillAttack047_effect,30의 베기 데미지를 입힌다.,Deals 30 Slash Damage,,
USkillAttack048_name,참수 4,Decapitate 4,,
USkillAttack048_desc,양손 날을 강력하게 내려쳐서 목표물을 절단한다.,Brings down a two-handed blade to sever the target.,,
USkillAttack048_effect,50의 베기 데미지를 입힌다.,Deals 50 Slash Damage,,
USkillAttack049_name,회전격 1,Whirl Slash 1,,
USkillAttack049_desc,양손 날을 휘두르며 다수 대상을 벤다.,Swings a two-handed blade to slash multiple enemies.,,
USkillAttack049_effect,10의 베기 데미지를 입힌다.,Deals 10 Slash Damage,,
USkillAttack050_name,회전격 2,Whirl Slash 2,,
USkillAttack050_desc,양손 날을 휘두르며 다수 대상을 벤다.,Swings a two-handed blade to slash multiple enemies.,,
USkillAttack050_effect,20의 베기 데미지를 입힌다.,Deals 20 Slash Damage,,
USkillAttack051_name,회전격 3,Whirl Slash 3,,
USkillAttack051_desc,양손 날을 휘두르며 다수 대상을 벤다.,Swings a two-handed blade to slash multiple enemies.,,
USkillAttack051_effect,30의 베기 데미지를 입힌다.,Deals 30 Slash Damage,,
USkillAttack052_name,회전격 4,Whirl Slash 4,,
USkillAttack052_desc,양손 날을 휘두르며 다수 대상을 벤다.,Swings a two-handed blade to slash multiple enemies.,,
USkillAttack052_effect,50의 베기 데미지를 입힌다.,Deals 50 Slash Damage,,
USkillAttack053_name,휘둘러치기 1,Swing Strike 1,,
USkillAttack053_desc,한손 둔기를 휘둘러 단일 대상을 빠르게 친다.,Swings a one-handed blunt weapon quickly to hit a single target.,,
USkillAttack053_effect,10의 때리기 데미지를 입힌다.,Deals 10 Crush Damage,,
USkillAttack054_name,휘둘러치기 2,Swing Strike 2,,
USkillAttack054_desc,한손 둔기를 휘둘러 단일 대상을 빠르게 친다.,Swings a one-handed blunt weapon quickly to hit a single target.,,
USkillAttack054_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack055_name,휘둘러치기 3,Swing Strike 3,,
USkillAttack055_desc,한손 둔기를 휘둘러 단일 대상을 빠르게 친다.,Swings a one-handed blunt weapon quickly to hit a single target.,,
USkillAttack055_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack056_name,휘둘러치기 4,Swing Strike 4,,
USkillAttack056_desc,한손 둔기를 휘둘러 단일 대상을 빠르게 친다.,Swings a one-handed blunt weapon quickly to hit a single target.,,
USkillAttack056_effect,50의 때리기 데미지를 입힌다.,Deals 50 Crush Damage,,
USkillAttack057_name,정권 지르기,Straight Punch,,
USkillAttack057_desc,맨손으로 주먹질을 통해 적을 가격한다.,Strikes the enemy with a barehanded punch.,,
USkillAttack057_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack058_name,겨누어 쏘기 1,Aimed Shot 1,,
USkillAttack058_desc,화살을 겨누어 단일 대상을 맞춘다.,Carefully aims and fires an arrow at a single target.,,
USkillAttack058_effect,25의 찌르기 데미지를 입힌다.,Deals 25 Pierce Damage,,
USkillAttack059_name,겨누어 쏘기 2,Aimed Shot 2,,
USkillAttack059_desc,화살을 겨누어 단일 대상을 맞춘다.,Carefully aims and fires an arrow at a single target.,,
USkillAttack059_effect,35의 찌르기 데미지를 입힌다.,Deals 35 Pierce Damage,,
USkillAttack060_name,겨누어 쏘기 3,Aimed Shot 3,,
USkillAttack060_desc,화살을 겨누어 단일 대상을 맞춘다.,Carefully aims and fires an arrow at a single target.,,
USkillAttack060_effect,45의 찌르기 데미지를 입힌다.,Deals 45 Pierce Damage,,
USkillAttack061_name,겨누어 쏘기 4,Aimed Shot 4,,
USkillAttack061_desc,화살을 겨누어 단일 대상을 맞춘다.,Carefully aims and fires an arrow at a single target.,,
USkillAttack061_effect,65의 찌르기 데미지를 입힌다.,Deals 65 Pierce Damage,,
USkillAttack062_name,격렬한 난타 1,Fierce Beating 1,,
USkillAttack062_desc,묵직한 둔기로 격렬하게 단일 대상을 때린다.,Strikes a single target fiercely with a heavy blunt weapon.,,
USkillAttack062_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack063_name,격렬한 난타 2,Fierce Beating 2,,
USkillAttack063_desc,묵직한 둔기로 격렬하게 단일 대상을 때린다.,Strikes a single target fiercely with a heavy blunt weapon.,,
USkillAttack063_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack064_name,격렬한 난타 3,Fierce Beating 3,,
USkillAttack064_desc,묵직한 둔기로 격렬하게 단일 대상을 때린다.,Strikes a single target fiercely with a heavy blunt weapon.,,
USkillAttack064_effect,40의 때리기 데미지를 입힌다.,Deals 40 Crush Damage,,
USkillAttack065_name,격렬한 난타 4,Fierce Beating 4,,
USkillAttack065_desc,묵직한 둔기로 격렬하게 단일 대상을 때린다.,Strikes a single target fiercely with a heavy blunt weapon.,,
USkillAttack065_effect,60의 때리기 데미지를 입힌다.,Deals 60 Crush Damage,,
USkillAttack066_name,경천동지 1,Heaven-Shaking Blow 1,,
USkillAttack066_desc,양손 둔기를 땅에 내려쳐 강력한 충격파를 일으킨다.,"Slams a two-handed blunt weapon into the ground, creating a powerful shockwave.",,
USkillAttack066_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack067_name,경천동지 2,Heaven-Shaking Blow 2,,
USkillAttack067_desc,양손 둔기를 땅에 내려쳐 강력한 충격파를 일으킨다.,"Slams a two-handed blunt weapon into the ground, creating a powerful shockwave.",,
USkillAttack067_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack068_name,경천동지 3,Heaven-Shaking Blow 3,,
USkillAttack068_desc,양손 둔기를 땅에 내려쳐 강력한 충격파를 일으킨다.,"Slams a two-handed blunt weapon into the ground, creating a powerful shockwave.",,
USkillAttack068_effect,40의 때리기 데미지를 입힌다.,Deals 40 Crush Damage,,
USkillAttack069_name,경천동지 4,Heaven-Shaking Blow 4,,
USkillAttack069_desc,양손 둔기를 땅에 내려쳐 강력한 충격파를 일으킨다.,"Slams a two-handed blunt weapon into the ground, creating a powerful shockwave.",,
USkillAttack069_effect,60의 때리기 데미지를 입힌다.,Deals 60 Crush Damage,,
USkillAttack070_name,마구 휘둘러치기 1,Wild Smash 1,,
USkillAttack070_desc,묵직한 둔기로 단일 대상을 마구 휘둘러친다.,Swings a heavy blunt weapon wildly at a single target.,,
USkillAttack070_effect,25의 때리기 데미지를 입힌다.,Deals 25 Crush Damage,,
USkillAttack071_name,마구 휘둘러치기 2,Wild Smash 2,,
USkillAttack071_desc,묵직한 둔기로 단일 대상을 마구 휘둘러친다.,Swings a heavy blunt weapon wildly at a single target.,,
USkillAttack071_effect,35의 때리기 데미지를 입힌다.,Deals 35 Crush Damage,,
USkillAttack072_name,마구 휘둘러치기 3,Wild Smash 3,,
USkillAttack072_desc,묵직한 둔기로 단일 대상을 마구 휘둘러친다.,Swings a heavy blunt weapon wildly at a single target.,,
USkillAttack072_effect,45의 때리기 데미지를 입힌다.,Deals 45 Crush Damage,,
USkillAttack073_name,마구 휘둘러치기 4,Wild Smash 4,,
USkillAttack073_desc,묵직한 둔기로 단일 대상을 마구 휘둘러친다.,Swings a heavy blunt weapon wildly at a single target.,,
USkillAttack073_effect,65의 때리기 데미지를 입힌다.,Deals 65 Crush Damage,,
USkillAttack074_name,선풍격 1,Gale Slash 1,,
USkillAttack074_desc,양손 날을 들고 회전하며 다수 대상을 벤다.,Spins with a two-handed blade to cut through multiple enemies.,,
USkillAttack074_effect,20의 베기 데미지를 입힌다.,Deals 20 Slash Damage,,
USkillAttack075_name,선풍격 2,Gale Slash 2,,
USkillAttack075_desc,양손 날을 들고 회전하며 다수 대상을 벤다.,Spins with a two-handed blade to cut through multiple enemies.,,
USkillAttack075_effect,30의 베기 데미지를 입힌다.,Deals 30 Slash Damage,,
USkillAttack076_name,선풍격 3,Gale Slash 3,,
USkillAttack076_desc,양손 날을 들고 회전하며 다수 대상을 벤다.,Spins with a two-handed blade to cut through multiple enemies.,,
USkillAttack076_effect,40의 베기 데미지를 입힌다.,Deals 40 Slash Damage,,
USkillAttack077_name,선풍격 4,Gale Slash 4,,
USkillAttack077_desc,양손 날을 들고 회전하며 다수 대상을 벤다.,Spins with a two-handed blade to cut through multiple enemies.,,
USkillAttack077_effect,60의 베기 데미지를 입힌다.,Deals 60 Slash Damage,,
USkillAttack078_name,선풍격 5,Gale Slash 5,,
USkillAttack078_desc,양손 날을 들고 회전하며 다수 대상을 벤다.,Spins with a two-handed blade to cut through multiple enemies.,,
USkillAttack078_effect,70의 베기 데미지를 입힌다. 50% 확률로 대상에게 위축 상태를 부여.,Deals 70 Slash Damage,,
USkillAttack079_name,역린,Dragon’s Wrath,,
USkillAttack079_desc,한손 둔기를 땅에 내려쳐 충격파를 일으켜 다수 대상을 때린다.,"Slams a one-handed blunt weapon into the ground, creating a shockwave that hits multiple enemies.",,
USkillAttack079_effect,70의 때리기 데미지를 입힌다. 100% 확률로 범위 내 적을 도발.,Deals 70 Crush Damage and taunts all enemies within range (100% chance),,
USkillAttack080_name,유탄 투척 1,Grenade Throw 1,,
USkillAttack080_desc,다수 대상에게 유탄을 투척하여 폭발을 일으킨다.,"Throws a grenade at multiple enemies, causing an explosion.",,
USkillAttack080_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack081_name,유탄 투척 2,Grenade Throw 2,,
USkillAttack081_desc,다수 대상에게 유탄을 투척하여 폭발을 일으킨다.,"Throws a grenade at multiple enemies, causing an explosion.",,
USkillAttack081_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack082_name,유탄 투척 3,Grenade Throw 3,,
USkillAttack082_desc,다수 대상에게 유탄을 투척하여 폭발을 일으킨다.,"Throws a grenade at multiple enemies, causing an explosion.",,
USkillAttack082_effect,40의 때리기 데미지를 입힌다.,Deals 40 Crush Damage,,
USkillAttack083_name,유탄 투척 4,Grenade Throw 4,,
USkillAttack083_desc,다수 대상에게 유탄을 투척하여 폭발을 일으킨다.,"Throws a grenade at multiple enemies, causing an explosion.",,
USkillAttack083_effect,60의 때리기 데미지를 입힌다.,Deals 60 Crush Damage,,
USkillAttack084_name,자폭,Self-Destruct,,
USkillAttack084_desc,체력이 10% 이하가 되면 그자리에서 광역으로 폭발한다.,"When HP falls below 10%, detonates in place, dealing area damage.",,
USkillAttack084_effect,40의 때리기 데미지를 입힌다.,Deals 40 Crush Damage,,
USkillAttack085_name,잔혹한 참격 1,Cruel Slash 1,,
USkillAttack085_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade with brutal force to slash the target.,,
USkillAttack085_effect,25의 베기 데미지를 입힌다.,Deals 25 Slash Damage,,
USkillAttack086_name,잔혹한 참격 2,Cruel Slash 2,,
USkillAttack086_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade with brutal force to slash the target.,,
USkillAttack086_effect,35의 베기 데미지를 입힌다.,Deals 35 Slash Damage,,
USkillAttack087_name,잔혹한 참격 3,Cruel Slash 3,,
USkillAttack087_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade with brutal force to slash the target.,,
USkillAttack087_effect,45의 베기 데미지를 입힌다.,Deals 45 Slash Damage,,
USkillAttack088_name,잔혹한 참격 4,Cruel Slash 4,,
USkillAttack088_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade with brutal force to slash the target.,,
USkillAttack088_effect,65의 베기 데미지를 입힌다.,Deals 65 Slash Damage,,
USkillAttack089_name,절명 1,Execution 1,,
USkillAttack089_desc,뾰족한 촉으로 단일 대상을 강력하게 찌른다.,Powerfully thrusts a sharp weapon into a single target.,,
USkillAttack089_effect,25의 찌르기 데미지를 입힌다.,Deals 25 Pierce Damage,,
USkillAttack090_name,절명 2,Execution 2,,
USkillAttack090_desc,뾰족한 촉으로 단일 대상을 강력하게 찌른다.,Powerfully thrusts a sharp weapon into a single target.,,
USkillAttack090_effect,35의 찌르기 데미지를 입힌다.,Deals 35 Pierce Damage,,
USkillAttack091_name,절명 3,Execution 3,,
USkillAttack091_desc,뾰족한 촉으로 단일 대상을 강력하게 찌른다.,Powerfully thrusts a sharp weapon into a single target.,,
USkillAttack091_effect,45의 찌르기 데미지를 입힌다.,Deals 45 Pierce Damage,,
USkillAttack092_name,절명 4,Execution 4,,
USkillAttack092_desc,뾰족한 촉으로 단일 대상을 강력하게 찌른다.,Powerfully thrusts a sharp weapon into a single target.,,
USkillAttack092_effect,65의 찌르기 데미지를 입힌다.,Deals 65 Pierce Damage,,
USkillAttack093_name,참격 1,Heavy Slash 1,,
USkillAttack093_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade forcefully to slash the target.,,
USkillAttack093_effect,20의 베기 데미지를 입힌다.,Deals 20 Slash Damage,,
USkillAttack094_name,참격 2,Heavy Slash 2,,
USkillAttack094_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade forcefully to slash the target.,,
USkillAttack094_effect,30의 베기 데미지를 입힌다.,Deals 30 Slash Damage,,
USkillAttack095_name,참격 3,Heavy Slash 3,,
USkillAttack095_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade forcefully to slash the target.,,
USkillAttack095_effect,40의 베기 데미지를 입힌다.,Deals 40 Slash Damage,,
USkillAttack096_name,참격 4,Heavy Slash 4,,
USkillAttack096_desc,한손 날을 강력하게 내려쳐서 벤다.,Brings down a one-handed blade forcefully to slash the target.,,
USkillAttack096_effect,60의 베기 데미지를 입힌다.,Deals 60 Slash Damage,,
USkillAttack097_name,충격파 1,Shockwave 1,,
USkillAttack097_desc,한손 둔기를 땅에 내려쳐 충격파를 일으켜 다수 대상을 때린다.,Strikes the ground with a one-handed blunt weapon to unleash a shockwave that hits multiple enemies.,,
USkillAttack097_effect,20의 때리기 데미지를 입힌다.,Deals 20 Crush Damage,,
USkillAttack098_name,충격파 2,Shockwave 2,,
USkillAttack098_desc,한손 둔기를 땅에 내려쳐 충격파를 일으켜 다수 대상을 때린다.,Strikes the ground with a one-handed blunt weapon to unleash a shockwave that hits multiple enemies.,,
USkillAttack098_effect,30의 때리기 데미지를 입힌다.,Deals 30 Crush Damage,,
USkillAttack099_name,충격파 3,Shockwave 3,,
USkillAttack099_desc,한손 둔기를 땅에 내려쳐 충격파를 일으켜 다수 대상을 때린다.,Strikes the ground with a one-handed blunt weapon to unleash a shockwave that hits multiple enemies.,,
USkillAttack099_effect,40의 때리기 데미지를 입힌다.,Deals 40 Crush Damage,,
USkillAttack100_name,충격파 4,Shockwave 4,,
USkillAttack100_desc,한손 둔기를 땅에 내려쳐 충격파를 일으켜 다수 대상을 때린다.,Strikes the ground with a one-handed blunt weapon to unleash a shockwave that hits multiple enemies.,,
USkillAttack100_effect,60의 때리기 데미지를 입힌다.,Deals 60 Crush Damage,,
