기본정보,,,,,,,
unitCode,charName,charLevel,cost,gSkillName,gSkillInfo,sSkillName,sSkillInfo
76,이단심문관,2,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
77,뱀파이어 궁수,2,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
78,참수병,2,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
79,보물사냥꾼,2,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
80,학살자,3,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
81,네크로멘서,3,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
82,챔피온,3,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
83,명사수,3,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
84,뱀파이오 소서러,3,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
85,워록,3,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
86,저주받은 군단장,4,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
87,불사의 뱀파이어 사령관,4,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
88,파멸의 지휘관,4,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
89,망자의 지배자 드라벤,5,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
90,죽음의 군주 마커스,5,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
91,뱀파이어 로드 이사벨,5,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
92,대장군 라고르,5,0,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
